WeekEpid;Year;Year_Week;Departements;Districts_Sanitaires;cas_suspect;Deces;cas_confirme;
1;2024;2024_S1;PLATEAUX;Abala-Allémbé;0;0;0;
1;2024;2024_S1;POOL;Boko-Louingui-Loumo;0;0;0;
1;2024;2024_S1;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Djiri;0;0;0;
1;2024;2024_S1;NIARI;Dolisie;0;0;0;
1;2024;2024_S1;LIKOUALA;Enyellé-Bétou;0;0;0;
1;2024;2024_S1;CUVETTE OUEST;Etoumbi;8;0;0;
1;2024;2024_S1;CUVETTE OUEST;Ewo;0;0;0;
1;2024;2024_S1;PLATEAUX;Gamboma;0;0;0;
1;2024;2024_S1;POOL;Goma Tsé-Tsé;0;0;0;
1;2024;2024_S1;KOUILOU;Hinda-Loango;0;0;0;
1;2024;2024_S1;POOL;Ignié-Ngabé-Mayama;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Ile Mbamou;0;0;0;
1;2024;2024_S1;LIKOUALA;Impfondo;0;0;0;
1;2024;2024_S1;NIARI;Kibangou;0;0;0;
1;2024;2024_S1;NIARI;Kimongo;0;0;0;
1;2024;2024_S1;POOL;Kindamba;0;0;0;
1;2024;2024_S1;POOL;Kinkala;0;0;0;
1;2024;2024_S1;POOL;Kintélé;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Loandjili;0;0;0;
1;2024;2024_S1;BOUENZA;Loudima;0;0;0;
1;2024;2024_S1;BOUENZA;Loutété;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Lumumba;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Madibou;0;0;0;
1;2024;2024_S1;KOUILOU;Madingo kayes - Nzambi;0;0;0;
1;2024;2024_S1;BOUENZA;Madingou;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Makelekele;0;0;0;
1;2024;2024_S1;NIARI;Mayoko;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Mfilou;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Mongo Poukou;0;0;0;
1;2024;2024_S1;CUVETTE;Mossaka-Loukoléla;0;0;0;
1;2024;2024_S1;NIARI;Mossendjo;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Moungali;0;0;0;
1;2024;2024_S1;BOUENZA;Mouyondzi;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Mvou-Mvou;0;0;0;
1;2024;2024_S1;KOUILOU;Mvouti-Kakamoéka;0;0;0;
1;2024;2024_S1;PLATEAUX;Ngo-Mpouya;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Ngoyo;0;0;0;
1;2024;2024_S1;BOUENZA;Nkayi;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Ouenze;0;0;0;
1;2024;2024_S1;SANGHA;Ouesso;0;0;0;
1;2024;2024_S1;CUVETTE;Owando;0;0;0;
1;2024;2024_S1;CUVETTE;Oyo-Alima;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Poto-Poto;0;0;0;
1;2024;2024_S1;SANGHA;Sembé-Souanké;0;0;0;
1;2024;2024_S1;LEKOUMOU;Sibiti;0;0;0;
1;2024;2024_S1;BRAZZAVILLE;Talangai;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
1;2024;2024_S1;POINTE NOIRE;Tié-Tié;0;0;0;
1;2024;2024_S1;LEKOUMOU;Zanaga;0;0;0;
2;2024;2024_S2;PLATEAUX;Abala-Allémbé;0;0;0;
2;2024;2024_S2;POOL;Boko-Louingui-Loumo;0;0;0;
2;2024;2024_S2;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Djiri;0;0;0;
2;2024;2024_S2;NIARI;Dolisie;0;0;0;
2;2024;2024_S2;CUVETTE OUEST;Etoumbi;0;0;0;
2;2024;2024_S2;CUVETTE OUEST;Ewo;0;0;0;
2;2024;2024_S2;POOL;Goma Tsé-Tsé;0;0;0;
2;2024;2024_S2;KOUILOU;Hinda-Loango;0;0;0;
2;2024;2024_S2;POOL;Ignié-Ngabé-Mayama;0;0;0;
2;2024;2024_S2;LIKOUALA;Impfondo;0;0;0;
2;2024;2024_S2;NIARI;Kibangou;0;0;0;
2;2024;2024_S2;NIARI;Kimongo;0;0;0;
2;2024;2024_S2;POOL;Kindamba;0;0;0;
2;2024;2024_S2;POOL;Kinkala;0;0;0;
2;2024;2024_S2;POOL;Kintélé;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Loandjili;0;0;0;
2;2024;2024_S2;BOUENZA;Loudima;0;0;0;
2;2024;2024_S2;BOUENZA;Loutété;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Lumumba;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Madibou;0;0;0;
2;2024;2024_S2;KOUILOU;Madingo kayes - Nzambi;0;0;0;
2;2024;2024_S2;BOUENZA;Madingou;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Makelekele;0;0;0;
2;2024;2024_S2;NIARI;Mayoko;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Mfilou;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Mongo Poukou;0;0;0;
2;2024;2024_S2;CUVETTE;Mossaka-Loukoléla;0;0;0;
2;2024;2024_S2;NIARI;Mossendjo;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Moungali;0;0;0;
2;2024;2024_S2;BOUENZA;Mouyondzi;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Mvou-Mvou;0;0;0;
2;2024;2024_S2;KOUILOU;Mvouti-Kakamoéka;0;0;0;
2;2024;2024_S2;PLATEAUX;Ngo-Mpouya;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Ngoyo;0;0;0;
2;2024;2024_S2;BOUENZA;Nkayi;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Ouenze;0;0;0;
2;2024;2024_S2;SANGHA;Ouesso;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Poto-Poto;0;0;0;
2;2024;2024_S2;SANGHA;Sembé-Souanké;0;0;0;
2;2024;2024_S2;LEKOUMOU;Sibiti;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Talangai;0;0;0;
